raw_intensity,norm_reflectance,label
1838.9,1.04299,blue
1797.6502,1.01960,blue
1796.75,1.01909,blue
1796.25,1.01880,blue
1795.3,1.01826,blue
1795.05,1.01812,blue
1794.1502,1.01761,blue
1787.35016,1.01375,blue
1790.5998,1.01560,blue
1789.2001,1.01480,blue
2062.8,1.16998,red
2004.99984,1.13720,red
2001.14992,1.13502,red
1998.3999,1.13346,red
1996.9002,1.13261,red
1988.7,1.12796,red
1987.3498,1.12719,red
1985.5,1.12614,red
1983.95016,1.12526,red
1989.7999,1.12858,red
1321.0,0.74925,yellow
1301.3999,0.73813,yellow
1301.3498,0.73810,yellow
1299.75,0.73720,yellow
1303.45,0.73929,yellow
1303.5,0.73932,yellow
1305.7998,0.74063,yellow
1301.6499,0.73827,yellow
1303.5998,0.73938,yellow
1302.8,0.73893,yellow
2032.05,1.15254,black
1979.25,1.12260,black
1974.75016,1.12004,black
1972.75,1.11891,black
1972.45008,1.11874,black
1971.25008,1.11806,black
1970.35,1.11755,black
1969.3999,1.11701,black
1969.8,1.11724,black
1970.85,1.11783,black
1169.6001,0.66338,white
1158.5498,0.65711,white
1158.5,0.65708,white
1158.8501,0.65728,white
1159.5,0.65765,white
1158.55,0.65711,white
1159.45,0.65762,white
1160.1499,0.65802,white
1160.4002,0.65816,white
1161.9002,0.65901,white
1792.7,1.01679,green
1752.85008,0.99419,green
1749.75,0.99243,green
1747.2001,0.99098,green
1749.74992,0.99243,green
1748.35016,0.99163,green
1749.3,0.99217,green
1748.3999,0.99166,green
1747.74992,0.99129,green
1747.35016,0.99107,green
1828.14992,1.03690,pink
1781.7,1.01055,pink
1779.24984,1.00916,pink
1775.99984,1.00732,pink
1776.35,1.00752,pink
1774.8,1.00664,pink
1782.55,1.01103,pink
1780.55,1.00990,pink
1791.3,1.01599,pink
1791.15,1.01591,pink
2089.6,1.18519,gray
2030.7999,1.15183,gray
2026.35,1.14931,gray
2027.50016,1.14996,gray
2026.45,1.14937,gray
2022.3999,1.14707,gray
2025.5,1.14883,gray
2023.5,1.14769,gray
2024.3999,1.14820,gray
2029.05,1.15084,gray
1937.8,1.09909,orange
1885.54992,1.06945,orange
1881.3,1.06704,orange
1882.00016,1.06744,orange
1881.9,1.06738,orange
1881.7,1.06727,orange
1880.2,1.06642,orange
1880.7999,1.06676,orange
1880.8,1.06676,orange
1881.45,1.06713,orange
