Red_Value,Green_Value,Blue_Value,label
1.24744,1.47279,1.58696,blue
1.25875,1.48612,1.60051,blue
1.24249,1.43927,1.54132,blue
1.14409,1.29573,1.36396,blue
1.05292,1.18446,1.22748,blue
0.98718,1.07150,1.10292,blue
0.96070,1.02438,1.05165,blue
0.94657,0.99945,1.01897,blue
0.92077,0.97292,1.01733,blue
1.15807,1.35540,1.43387,blue
1.34225,1.04333,0.99606,red
1.37340,1.05926,1.01208,red
1.31645,1.04173,1.00732,red
1.19792,0.97827,0.93747,red
1.35419,1.04474,0.98448,red
1.58818,1.20158,1.13380,red
1.73630,1.30349,1.24688,red
1.40200,1.08200,1.04241,red
1.28754,1.01662,0.97546,red
1.31162,1.02479,0.97546,red
1.12173,0.96745,0.81701,yellow
0.86753,0.71331,0.61210,yellow
0.72005,0.59232,0.51591,yellow
0.68055,0.57913,0.48437,yellow
0.97768,0.83161,0.57521,yellow
1.33151,1.17893,0.93660,yellow
0.93035,0.76920,0.65042,yellow
0.78287,0.65483,0.53684,yellow
1.04736,0.88722,0.67496,yellow
1.16394,0.99995,0.81898,yellow
1.17308,1.16642,1.14271,black
1.19241,1.19395,1.14194,black
1.27855,1.27308,1.25481,black
1.17492,1.16884,1.13517,black
1.13454,1.12099,1.09898,black
1.08738,1.07351,1.03432,black
1.21657,1.21130,1.17949,black
1.36178,1.36773,1.33270,black
1.38135,1.38480,1.34986,black
1.28730,1.28121,1.25339,black
0.91162,0.92526,0.94469,white
1.01022,1.04132,1.05225,white
0.91969,0.87654,0.86341,white
0.74525,0.70048,0.67731,white
0.83942,0.83376,0.82532,white
1.02300,1.03812,1.03296,white
1.25631,1.30614,1.32789,white
1.29245,1.31582,1.30744,white
1.02260,1.03516,1.04613,white
0.96897,0.95795,0.96923,white
1.21693,1.35143,1.22590,green
1.13319,1.22870,1.12817,green
1.06470,1.11373,1.04345,green
0.98147,1.01233,0.94070,green
1.06522,1.15396,1.04252,green
1.16470,1.29395,1.16085,green
1.34373,1.50196,1.35620,green
1.07604,1.15021,1.05712,green
1.03902,1.12994,1.01793,green
1.17756,1.29436,1.18168,green
1.33442,1.31212,1.27492,pink
1.31438,1.28139,1.24284,pink
1.24293,1.20519,1.15900,pink
1.15962,1.14136,1.10899,pink
1.16150,1.13177,1.07122,pink
1.26526,1.23226,1.17474,pink
1.36717,1.32581,1.27044,pink
1.26661,1.23523,1.19551,pink
1.25499,1.22062,1.17266,pink
1.26757,1.23176,1.18348,pink
1.25463,1.25765,1.23377,gray
1.32284,1.33184,1.29280,gray
1.41941,1.42672,1.39981,gray
1.23247,1.22299,1.20453,gray
1.13670,1.12108,1.09904,gray
1.08067,1.06346,1.03274,gray
1.05447,1.03844,1.00743,gray
1.16326,1.14944,1.11194,gray
1.22045,1.21336,1.17824,gray
1.22376,1.21477,1.18463,gray
1.22947,0.98347,0.82914,orange
1.20811,0.95690,0.79296,orange
1.26046,1.00776,0.81340,orange
1.30479,1.05059,0.82329,orange
1.38399,1.12880,0.94890,orange
1.18914,0.93964,0.78924,orange
1.04345,0.82070,0.71354,orange
1.11613,0.86599,0.72262,orange
1.04101,0.81025,0.70638,orange
1.00839,0.79399,0.65681,orange
